timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2019/03/28 14:11:11.366, 36, 13 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:12.366, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:13.367, 36, 13 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:14.368, 36, 14 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:15.369, 36, 15 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:16.370, 36, 15 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:17.371, 36, 14 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:18.372, 36, 14 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:19.373, 36, 14 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:20.374, 36, 15 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:21.375, 36, 15 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:22.376, 36, 14 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:23.377, 36, 14 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:24.378, 36, 14 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:25.378, 36, 14 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:26.379, 36, 14 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:27.380, 36, 13 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:28.381, 36, 13 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:29.382, 36, 14 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:30.383, 36, 14 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:31.384, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:32.385, 36, 13 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:33.386, 36, 13 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:34.387, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:35.388, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:36.389, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:37.390, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:38.391, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:39.392, 36, 11 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:40.393, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:41.393, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:42.394, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:43.395, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:44.395, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:45.396, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:46.397, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:47.397, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:48.398, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:49.399, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:50.400, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:51.401, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:52.401, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:53.402, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:54.403, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:55.404, 36, 0 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:11:56.404, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:11:57.408, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:11:58.409, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:11:59.410, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:00.411, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:01.412, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:02.412, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:03.413, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:04.414, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:05.415, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:06.416, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:07.417, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:08.418, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:09.419, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:10.420, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:11.421, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:12.422, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:13.423, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:14.424, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:15.424, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:16.425, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:17.426, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:18.427, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:19.428, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:20.429, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:21.430, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:22.431, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:23.432, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:24.433, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:25.434, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:26.435, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:27.436, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:28.437, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:29.438, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:30.439, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
